CD_MUN,NM_MUN,CNAE_section,MPI
4310538,Itaara,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01896475709710838
4310553,Itacurubi,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.003751206444115979
4310579,Itapuca,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01592020627017744
4310603,Itaqui,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.001697939900446082
4310652,Itati,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.007872540888905757
4310702,Itatiba do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.015091228652464605
4310751,Ivorá,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.009744612613979445
4310801,Ivoti,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.0479297736757951
4310850,Jaboticaba,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.00940706225121408
4310876,Jacuizinho,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.011219615934273048
4310900,Jacutinga,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.016341022159469486
4311007,Jaguarão,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.0028311152513263867
4311106,Jaguari,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.005303845046267891
4311122,Jaquirana,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.009587120113151895
4311155,Jóia,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01005738346407929
4311205,Júlio de Castilhos,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.008481146719045925
4311254,Lagoão,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.008426588943485526
4311270,Lagoa dos Três Cantos,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.03233735855521282
4311304,Lagoa Vermelha,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.012279289121375079
4311403,Lajeado,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.042041399661476526
4311502,Lavras do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.004190383685896686
4311601,Liberato Salzano,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01026746609814857
4311627,Lindolfo Collor,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.04371164922896545
4311643,Linha Nova,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.03508446145451871
4311700,Machadinho,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.007229122679245835
